video_id,title,channel,views,likes,comments,published_at,description,thumbnail_url,duration,channel_id
f-fcFGLfEBQ,SHUT THAT (SHUT THAT),JAESSBEE - Topic,98472,2863,0,2025-08-15T09:00:56Z,"Provided to YouTube by Kakao Entertainment

SHUT THAT (SHUT THAT) · JAESSBEE · HARING (MonoTree) · David Pramik · HARING (MonoTree) · DANA · David Pramik · Ryan Tutton · Bomin Kim · un:named · HOLLIN ...",https://i.ytimg.com/vi/f-fcFGLfEBQ/mqdefault.jpg,PT2M32S,UCNBW8ecFwixW3ygJJiIENaw
fStL35aU840,BRO vs DNF - HLE vs T1 | 2025 LCK,LCK,2904656,0,204,2025-08-15T14:07:09Z,"#LCK #ForOneLegacy

✅ LIVE & LIVE VOD
- LoL e스포츠 홈페이지:  https://lolesports.com/
- 네이버: https://sports.news.naver.com/esports/index.nhn
- SOOP: https://ch.sooplive.co.kr/aflol

✅ LCK 채널 구독 및 좋아요!
- LCK...",https://i.ytimg.com/vi/fStL35aU840/mqdefault.jpg,PT5H59M6S,UCw1DsweY9b2AKGjV4kGJP1A
795zA6fwc14,'Golden' HUNTR/X (KPop Demon Hunters) - Cover by 윤하,YOUNHA OFFICIAL,103260,7386,749,2025-08-16T11:00:01Z,"'Golden' HUNTR/X (KPop Demon Hunters) - Cover by 윤하

YOUNHA Official TWITTER https://twitter.com/younhaholic
YOUNHA FanCafe https://cafe.daum.net/Y-Holics
YOUNHA Instagram https://www.instagram.com/yo...",https://i.ytimg.com/vi/795zA6fwc14/mqdefault.jpg,PT3M16S,UCmAT2nOQB0ofAhlc7_2P8GA
CvfkhDryoso,"인류99%가 멸망한 세상, 사람인척 하는 좀비를 찾아내라.",혜안,356296,20126,738,2025-08-16T10:15:02Z,"당신은 인간입니까
[업로드] 금,토,일,월 
[문의메일] zxcv34276@gmail.com
[인스타그램] @hxxax_
#혜안 #좀비
Music provided by 브금대통령
Track : Trace of Blood - https://youtu.be/tpIKvKpt2Vc
Song : 샛별 - Smile / https://youtu.be/ih1yep4F8...",https://i.ytimg.com/vi/CvfkhDryoso/mqdefault.jpg,PT35M55S,UC8CIM3d3zDYMk-3T5aAz0yw
-4pxYrUtoPA,"[최신가요 실시간 인기차트] 2025년 8월 16일 2주차, 멜론차트 X, 종합차트, 노래모음 KPOP 플레이리스트",Beautiful Life,28744,104,4,2025-08-15T21:59:05Z,"🍀에 오신 것을 환영합니다! 🍀
이곳은 감성과 열정이 가득한 K-POP의 세계입니다.
BTS, BLACKPINK, IU, EXO 같은 글로벌 스타들의 명곡부터,
감미로운 발라드와 숨겨진 명곡까지—다양한 음악을 함께 나눠요!

✨ 주요 콘텐츠:
🎧 계절별/감성별 플레이리스트
📖 가사 해석 및 곡 속 숨은 이야기
🎤 덜 알려진 보석 같은 명곡 추천
🎬 라이브 ...",https://i.ytimg.com/vi/-4pxYrUtoPA/mqdefault.jpg,PT1H12M50S,UCpgukIG1GbTTBaMCaY8btTQ
1ZeYoLsDwVs,레전드 자해공갈단 등장,괴물쥐 유튜브,319704,2332,195,2025-08-16T14:00:02Z,"▷치지직 생방송 - https://naver.me/IFIAjKrC
▶MONSRAT굿즈 - https://www.charonstore.com/
▷괴물쥐 공식 카페 - https://cafe.naver.com/tmxk9999",https://i.ytimg.com/vi/1ZeYoLsDwVs/mqdefault.jpg,PT17M57S,UCDBAVzfX3yZ1hah0FHnOoaA
Dc3Oa7wyORI,별,CHUU - Topic,87650,1283,40,2025-08-14T09:02:55Z,"Provided to YouTube by NHN BUGS

별 · 츄

내 여자친구는 상남자 OST Part.5

℗ 모스트콘텐츠

Released on: 2025-08-14

Auto-generated by YouTube.",https://i.ytimg.com/vi/Dc3Oa7wyORI/mqdefault.jpg,PT4M28S,UCWBGeXdzpTbm6Pd6_1lFVGg
ihjFY64hmy0,11 대 5 해보시든가 | 4R HLE vs T1│2025 LCK | 울챔스 하이라이트,Wolf,347608,4390,398,2025-08-16T03:00:59Z,"#t1wolf #울챔스 #LCK

경기 정보 : 
2025년 08월 15일 (금) 정규시즌 4R 레전드 그룹 HLE vs T1
전체 경기 풀영상 다시보기 : https://chzzk.naver.com/video/8772341

--------------------------

00:00 25 LCK 정규시즌 4R HLE vs T1
00:16 1세트 밴픽
0...",https://i.ytimg.com/vi/ihjFY64hmy0/mqdefault.jpg,PT56M42S,UCYJ0Ucu9jPX5kn6SeDcNaIQ
k2KqY_l_S4s,BEATPELLA HOUSE - Swimming Beetles (Official Video) (BEATBOX),BEATPELLA HOUSE,281276,21507,1002,2025-08-15T03:00:11Z,"BEATPELLA HOUSE - Swimming Beetles (Official Video) (BEATBOX)

Stream : https://beatpellahouse.lnk.to/whatsinmyroom

[Credits]
Presented by | AEYL MUSIC
Executive Producer | SINZO, Eli Backer
Album Pr...",https://i.ytimg.com/vi/k2KqY_l_S4s/mqdefault.jpg,PT2M43S,UCWuLbEABJ8AmK7H_2bA8Y-w
O4-8HC08ZCk,새 문파 추어탕을 만들고 클상도에 도전하는 저라뎃?! 참교육 가겠습니다,클리드,174937,1651,580,2025-08-16T17:44:10Z,"[25.08.15] 방송 영상 입니다.

#클리드 #저라뎃 #클상도 #이상호

클리드 생방송 : https://ch.sooplive.co.kr/xoals137
클리드 공식 팬카페 : https://cafe.naver.com/clidfan
플레이리스트 : https://www.youtube.com/playlist?list=PLqBzbvTw1GI6WnKPUR-...",https://i.ytimg.com/vi/O4-8HC08ZCk/mqdefault.jpg,PT50M8S,UCyoSQyaCrZHro6F_nBiXIYg
